fen,outcome,side_to_move
4r3/pR3k1p/2pb4/5p2/8/4P3/P1KP1nPP/8 b - - 1 27,0.0,b
8/pr3k1p/2p5/5p2/1b6/4P2P/P1KP1nP1/8 w - - 1 30,0.0,w
8/pr3k1p/2p5/8/3Pp3/7P/P1K2nP1/4b3 w - - 0 32,0.0,w
8/p4k1p/2p5/8/3Pp3/3n3P/P5P1/1r1Kb3 w - - 4 34,0.0,w
8/p6p/2p1k3/8/3Pp3/3n3P/P1K3P1/4b3 b - - 2 36,0.0,b
8/p6p/2p1k3/8/3Pp3/P6P/6n1/3Kb3 b - - 0 38,0.0,b
8/p7/2pk3p/8/P2Pp2P/8/6n1/3Kb3 b - - 0 40,0.0,b
8/p7/2pk3p/P7/3Pp3/8/4K1n1/4b3 b - - 2 42,0.0,b
8/p7/2pk3p/b7/3P4/4pK2/6n1/8 b - - 1 44,0.0,b
8/p7/2pk4/7p/3P4/2bKp3/6n1/8 b - - 1 46,0.0,b
8/p7/2pk4/8/3b3p/4p3/6n1/5K2 b - - 1 48,0.0,b
8/p7/2pk4/8/3b4/3Kp3/6np/8 b - - 1 50,0.0,b
8/p7/2pk4/8/8/2K5/4p1n1/7q b - - 1 52,0.0,b
8/p7/2pk4/8/8/4n3/K7/4q2q b - - 3 54,0.0,b
8/p7/3k4/2p5/8/K5q1/6n1/7q w - - 3 57,0.0,w
8/p7/8/2p1k3/8/6q1/K5n1/7q b - - 7 59,0.0,b
8/8/p2k4/2p5/8/3q4/1K4n1/7q w - - 1 62,0.0,w
8/8/p2k4/8/2p5/3q4/1K4n1/1q6 w - - 2 64,0.0,w
3r2k1/pb3ppp/1p3n2/8/1PBrP2n/6NP/5PP1/2R1R1K1 w - - 0 32,1.0,w
3r2k1/pb3ppp/1p3n2/4P3/1PBr1n2/6NP/4RP2/2R3K1 w - - 2 34,1.0,w
6k1/pb3ppp/1p3n2/4P3/1PR2n2/6NP/R4P2/3r2K1 w - - 1 36,1.0,w
2R1n1k1/p4ppp/1p6/3bP3/1P3n2/6NP/R4P1K/3r4 w - - 5 38,1.0,w
3r2k1/pb3ppp/1p3n2/8/1PBrP2n/5PNP/6P1/2R1R1K1 b - - 0 32,0.0,b
3r2k1/p4p1p/1p3np1/3BP3/1P1r3n/5PNP/6P1/2R1R1K1 b - - 0 34,0.0,b
3r2k1/p4p1p/1p4p1/1P1nP3/7n/5PNP/3rR1P1/2R3K1 b - - 2 36,0.0,b
3r4/p4pkp/1p4p1/1P1nP3/7n/5P1P/4N1P1/3R2K1 b - - 2 38,0.0,b
3r4/p4pkp/1p4p1/1P1nP3/3R4/4nPNP/8/6K1 b - - 3 40,0.0,b
