number,loss,texel_scale,error_count
237,0.9079867280528912,1182.359669978797,0
238,0.9220833594390915,1091.2356719707423,0
239,0.9109724430076116,1166.5346954491804,0
240,0.9088774660677187,1163.4456268140236,0
241,0.8962897851654159,1191.7583206385825,0
242,0.9011003044539914,1185.0143912185272,0
243,0.943169624371419,1046.7746692309474,0
244,0.9287858778232941,1073.3792891667076,0
245,0.9044043307814059,1171.7717297700342,0
246,1.034841317589336,810.4224675239051,0
247,1.0146388092792367,856.5427360745471,0
248,0.90935739325999,1165.6111718006105,0
249,0.978365801221765,934.8128265789525,0
250,0.8536987225690138,1133.726622218781,0
251,0.9042469319719092,928.3064313654828,0
252,0.8791649184130502,1029.1642986291758,0
253,0.8922391249098578,975.3301765734692,0
254,0.8537760961736032,1148.8502914817323,0
255,0.8574781749114275,1116.9010880506523,0
256,0.8694872851747053,1054.172828816266,0
257,0.8599796740958923,1101.1706745695535,0
258,0.8506053949572032,1142.883466744831,0
259,0.8466847610575798,1195.7242882955352,0
260,0.8832492557898566,1022.4970992900982,0
261,0.8494793766450025,1184.2959394378263,0
262,0.90235440015878,930.6323996152548,0
263,0.8785282695710508,1022.6905991982458,0
264,0.8947923118791014,949.2795841803087,0
265,0.9221354934787188,870.052745955874,0
266,0.8541896865415531,1132.9773289856737,0
267,0.881949269593582,993.1627144373617,0
268,0.856326215943636,1127.7755344180707,0
269,0.8466286399421812,1171.1847078420215,0
270,0.8605789462891665,1117.8181461976203,0
271,0.8784057134520613,1017.5817248671639,0
272,0.8514105832557529,1141.9109641986702,0
273,0.9014275122066956,929.302338259434,0
274,0.8497394265440756,1153.6842288794114,0
275,0.8507932279128954,1189.4267286864692,0
276,0.8756419246771143,1049.127143389039,0
277,0.8452095256417725,1184.1855018625038,0
278,0.8952932138163302,960.6911764338444,0
279,0.8553106269942984,1140.012031923633,0
280,0.8866734174498784,1009.0458877442393,0
281,0.8612559566353585,1093.8168633593987,0
282,0.861149593874157,1122.78235498277,0
283,0.8991905364125892,958.164265758557,0
284,0.8557848482150234,1138.9828156635936,0
285,0.862863264407693,1086.5966557062916,0
286,0.8715684589367615,1060.9283936552606,0
287,0.8551578122656561,1126.6480626599086,0
288,0.8569732243790301,1127.567424213632,0
289,0.8485496601073117,1152.3980854721003,0
290,0.8687053700310238,1062.6673748721614,0
291,0.8742848238474312,1020.5767947205431,0
292,0.8584041081612067,1115.5216155929165,0
293,0.8567227026345966,1124.2736853961032,0
294,0.8618644821363081,1107.1231972807595,0
295,0.8597894504823419,1107.7843082464385,0
296,0.8552410952577353,1131.8528667891655,0
297,0.9378731608923164,815.9709869046503,0
298,0.8577291545792658,1121.8370300956417,0
299,0.8524933061452057,1148.8845120783803,0
300,0.8536083716757734,1141.8449348740264,0
301,0.8465054389970864,1192.4752255965257,0
302,0.8695045188840891,1076.9107357128264,0
303,0.8677970563755093,1080.2697271907482,0
304,0.8520832369245925,1152.306844654842,0
305,0.8722484868203276,1074.932945086759,0
306,0.8503815169263831,1161.6201785956332,0
307,0.8519370150986285,1146.1626526106797,0
308,0.8672659458708657,1079.810584146425,0
309,0.8527734154185955,1159.0425135175947,0
310,0.8515800890301126,1147.6527151975354,0
311,0.8713875700971251,1058.130843676743,0
312,0.8502379367879875,1152.4714594746788,0
313,0.8472882933805622,1174.8496408029555,0
314,0.847041160783228,1186.591751789076,0
315,0.8711057551023297,1054.6129094808084,0
316,0.8671141630923243,1084.8580370966843,0
317,0.9168158511698034,879.4304965956309,0
318,0.8724456102093343,1040.9168637182784,0
319,0.8571533159383065,1125.5005811771061,0
320,0.9084874806523507,914.2309874635828,0
321,0.8874904397462962,980.6099186079414,0
322,0.8742996065988428,1048.961736848145,0
323,0.8768098363376081,1047.5267737276913,0
324,0.8544394156975903,1150.847120225434,0
325,0.8496602477321349,1172.177577822897,0
326,0.8634852712907514,1100.6481209508197,0
327,0.8542423842250012,1162.6837892491594,0
328,0.8514475338335363,1165.2075321423772,0
329,0.8707452341687983,1051.346573499217,0
330,0.8610328621315894,1101.7563114265145,0
331,0.8654434324889994,1085.9742759125716,0
332,0.8474514130790258,1172.8830712912377,0
333,0.8551853098234782,1141.2238332441132,0
334,0.8558799238476368,1143.7622110983423,0
335,0.8477284845916258,1179.315910309524,0
336,0.8554710976188424,1142.9497874939677,0
337,0.8730253522005109,1042.4666120073423,0
338,0.8482075259190798,1176.9189031529613,0
