target_cp,original_eval,fitted_eval
261.000000,79.000000,140.612634
1.000000,-543.000000,-898.054565
33.000000,-558.000000,-812.525983
-50.000000,-367.000000,342.056507
-185.000000,45.000000,-449.041859
6.000000,150.000000,233.199278
17.000000,128.000000,1583.307840
93.000000,3.000000,512.949976
29.000000,495.000000,702.571481
-78.000000,251.000000,2655.465677
14.000000,-187.000000,-259.884957
27.000000,-243.000000,-116.769277
200.000000,48.000000,789.809951
-114.000000,200.000000,-305.958231
-91.000000,179.000000,-1036.883916
19.000000,-207.000000,223.631675
343.000000,9.000000,1551.807357
363.000000,90.000000,1262.239853
170.000000,-35.000000,218.236025
75.000000,-88.000000,307.507482
71.000000,77.000000,-90.751623
-10.000000,330.000000,-670.930303
9.000000,-594.000000,335.360377
39.000000,-216.000000,-32.956170
20.000000,-165.000000,-102.829588
22.000000,-458.000000,741.449499
65.000000,-123.000000,1647.667713
270.000000,-37.000000,1001.988333
150.000000,-283.000000,534.969086
491.000000,-87.000000,3532.392543
-26.000000,-576.000000,-143.286740
24.000000,-409.000000,378.262939
76.000000,-198.000000,432.609783
-23.000000,128.000000,-498.642528
48.000000,21.000000,159.269822
34.000000,-2.000000,-139.121460
-143.000000,-366.000000,233.586589
-23.000000,-327.000000,-231.302098
48.000000,-306.000000,193.603426
40.000000,-209.000000,-105.507887
64.000000,70.000000,344.560667
21.000000,171.000000,428.793565
47.000000,249.000000,52.485341
0.000000,-494.000000,279.957212
53.000000,62.000000,-115.844394
48.000000,-455.000000,-255.252958
-21.000000,27.000000,-542.406964
108.000000,-286.000000,160.290417
52.000000,216.000000,-205.868300
83.000000,-4.000000,34.804016
55.000000,-277.000000,-185.251249
-75.000000,-488.000000,-636.014105
46.000000,-277.000000,-185.251249
42.000000,480.000000,-72.625214
13.000000,298.000000,-566.853835
57.000000,77.000000,214.807419
296.000000,108.000000,70.246956
45.000000,-277.000000,-185.251249
11.000000,95.000000,-97.637855
30.000000,-125.000000,-56.223952
-49.000000,-321.000000,-227.991404
-17.000000,-199.000000,226.767387
550.000000,-238.000000,-1662.894928
112.000000,-409.000000,-537.800686
-70.000000,-66.000000,515.209887
-227.000000,61.000000,-334.744587
54.000000,-132.000000,195.703453
28.000000,146.000000,-253.597072
56.000000,-147.000000,77.197392
-37.000000,-504.000000,-46.615153
11.000000,2.000000,-141.781988
27.000000,285.000000,2041.759442
700.000000,708.000000,7196.995965
-18.000000,-122.000000,-108.123885
90.000000,197.000000,-190.485734
496.000000,146.000000,1434.329028
792.000000,384.000000,1415.392889
89.000000,-227.000000,-328.814286
106.000000,-273.000000,339.421900
-23.000000,-440.000000,-599.621025
429.000000,-9.000000,-1107.262047
-122.000000,-426.000000,-830.540204
87.000000,-135.000000,216.130871
69.000000,-183.000000,-332.638259
-66.000000,67.000000,-656.094700
-48.000000,248.000000,-282.388417
-82.000000,97.000000,438.550464
-241.000000,124.000000,-163.113078
97.000000,-39.000000,-404.847675
72.000000,-199.000000,-763.632212
73.000000,-152.000000,-17.422372
370.000000,-359.000000,379.189025
-13.000000,432.000000,-304.370094
498.000000,329.000000,1897.522320
70.000000,-403.000000,953.827342
-42.000000,-125.000000,96.563903
14.000000,223.000000,-320.515241
68.000000,-414.000000,895.563550
55.000000,-380.000000,198.088207
67.000000,14.000000,-57.209558
-40.000000,-296.000000,-246.890831
50.000000,190.000000,88.517585
47.000000,245.000000,-158.362105
-44.000000,77.000000,-138.124277
218.000000,-322.000000,367.459251
192.000000,-353.000000,1083.033659
-255.000000,-554.000000,-262.026528
28.000000,-266.000000,118.335349
-42.000000,-111.000000,124.903276
-77.000000,-195.000000,145.527036
-74.000000,120.000000,-740.691919
39.000000,177.000000,-1006.199646
-42.000000,92.000000,-727.549159
-922.000000,-799.000000,-14489.327173
95.000000,-498.000000,19.410448
45.000000,249.000000,84.836237
-9.000000,-263.000000,-112.513001
-162.000000,-613.000000,932.282176
-293.000000,-563.000000,417.361575
593.000000,-239.000000,1705.685520
656.000000,42.000000,1613.723660
36.000000,-412.000000,-35.398574
36.000000,-271.000000,129.898707
32.000000,74.000000,204.194115
128.000000,-200.000000,324.478999
24.000000,463.000000,-140.563444
13.000000,-281.000000,14.312356
301.000000,-493.000000,3541.519050
346.000000,-346.000000,1723.013284
366.000000,-516.000000,1969.955641
-333.000000,289.000000,-823.963676
48.000000,-273.000000,-80.859774
515.000000,-444.000000,1585.242621
-28.000000,63.000000,-122.413157
-64.000000,-368.000000,-461.715085
-249.000000,165.000000,-2785.251394
567.000000,478.000000,1780.290350
1.000000,252.000000,-437.050907
-450.000000,-216.000000,-1133.050648
22.000000,-343.000000,47.872766
30.000000,-348.000000,-383.491937
-77.000000,-288.000000,-274.314872
-328.000000,-374.000000,-1264.908582
98.000000,333.000000,342.337194
3.000000,4.000000,420.266214
-16.000000,71.000000,312.204258
112.000000,-466.000000,834.285208
224.000000,149.000000,1626.147306
159.000000,455.000000,-324.442847
77.000000,49.000000,462.894651
134.000000,-113.000000,397.134615
-70.000000,-78.000000,-361.225969
119.000000,-363.000000,291.331775
81.000000,-328.000000,-69.747309
237.000000,680.000000,2261.434783
70.000000,-371.000000,171.911312
